GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
170113A	20.66	6.7	0.7	1.1	0.1	0.75, CPL	0.59	04:06:55.94	-71:56:34.4	1.968 (VLT: absorption)
161219B	6.94	15	1	5.3	0.4	1.29, CPL	0.35	06:06:51.37	-26:47:29.7	0.1475 (VLT: absorption)|0.1475 (GTC: absorption)
161129A	35.53	36	1	3.4	0.2	1.57, PL	0.06	21:04:54.65	32:08:05.4	0.645 (GTC: emission from host))
161117A	125.7	200	0.0	6.8	0.3	1.19, CPL	0.12	21:28:12.59	-29:36:50.4	1.549 (VLT: absorption)
161108A	105.1	11	1	0.6	0.1	1.85, PL	0.17	12:03:09.10	24:52:05.5	1.159 (NOT: absorption & emission)
161017A	216.3	53	2	2.8	0.2	1.55	0.06	09:31:04.53	43:07:35.0	2.0127 (GTC: absorption)|2.01 (TNG: absorption)
161014A	18.3	19	2	2.9	0.6	1.47, PL	0.15	22:10:35.42	07:28:07.4	2.823 (GTC: absorption)|2.823 (VLT: absorption)
160804A	144.2	114	3	2.9	0.3	1.40, CPL	0.23	14:46:31.20	09:59:55.9	0.736 (VLT: absorption & emission)
160703A	44.4	90	2	5.8	0.3	1.34, PL	0.04	19:09:40.04	36:55:03.0	The detection in all UVOT filters is consistent with a redshift of z < ~1.5
160624A	0.2	0.40	0.09	0.5	0.1	0.57, PL	0.45	22:00:46.22	29:38:37.6	0.483 (Gemini-North: emission, possible host)
160425A	304.58	21	2	2.8	0.2	2.20, PL	0.18	18:41:18.55	-54:21:36.1	0.555 (VLT: emission)
160410A	8.2	7.8	0.8	3.5	0.3	0.93, PL	0.17	10:02:44.40	03:28:40.8	1.717 (VLT: absorption)|1.72 (Keck-I: absorption)
160327A	28	14	1	1.8	0.2	1.84, PL	0.11	09:46:48.55	54:00:46.3	4.99 (GTC: absorption, probably redshift)
160314A	8.73	2.8	0.4	0.9	0.2	1.53, PL	0.22	07:31:09.79	16:59:57.3	0.726 (VLT: emission from host)
160227A	316.5	31	2	0.6	0.1	0.75, CPL	0.51	12:59:13.73	78:40:44.9	2.38 (NOT: absorption)
160203A	20.2	12	1	1.3	0.4	1.93, PL	0.20	10:47:48.31	-24:47:20.6	3.52 (VLT: absorption)
160131A	325	204	5	6.4	0.3	1.24, PL	0.05	05:12:40.32	-07:02:59.5	0.97 (TNG: absorption)|0.972 (GTC: absorption)|0.97 (Xinglong: absorption)
160121A	12.0	6.1	0.5	1.2	0.2	1.77, PL	0.13	07:16:21.14	-23:35:31.7	1.960 (GTC: absorption)
160117B	n/a	n/a	n/a	n/a	n/a	n/a	n/a	08:48:46.72	-16:22:01.0	0.870 (VLT: absorption)| 0.86 (TNG: absorption and emission)
151215A	17.8	3.1	0.7	1.6	0.2	1.99, PL	0.33	06:14:20.20	35:30:57.9	2.59 (NOT: absorption)
151112A	19.32	9.4	1.2	1.9	0.2	1.77, PL	0.21	00:08:12.88	-61:39:47.8	4.1 (MPG: photometric)
151111A	76.93	17	1	1.0	0.1	0.79, CPL	0.45	03:47:22.75	-44:09:41.3	3.5 (MPG: photometric)
151031A	5.00	3.2	0.3	1.7	0.2	2.41, PL	0.18	05:32:47.00	-39:07:18.6	1.167 (VLT: absorption)
151029A	8.95	3.9	0.6	1.8	0.3	0.49, CPL	1.08	02:34:06.72	-35:23:08.1	1.423 (VLT: absorption)
151027B	80.00	15	3	n/a	n/a	1.83, PL	0.27	05:04:52.67	-06:27:00.7	4.063 (VLT: absorption)
151027A	129.69	78	2	6.8	0.6	1.72, PL	0.05	18:09:56.85	61:21:11.9	0.38 (XRT: tentative)|0.81 (Keck: absorption)|0.81 (GMG: absorption)
151021A	110.2	280	10	9.7	0.8	1.57, PL	0.04	22:30:34.43	-33:11:50.3	2.330 (VLT: absorption)
150915A	164.7	8.0	1.8	0.5	0.2	2.51, PL	0.42	21:18:38.01	-34:54:49.1	1.968 (VLT: absorption)
150910A	112.2	48	4	1.1	0.4	1.42, PL	0.12	00:22:40.16	33:28:22.7	1.359 (Lick: absorption)|1.360 (GTC: absorption)
150821A	172.1	7.9	1.9	n/a	n/a	2.10, PL	0.37	22:47:39.13	-57:53:38.1	0.755 (VLT: absorption)
150818A	123.3	41	2	2.4	0.3	1.96, PL	0.09	15:21:25.44	68:20:31.3	0.282 (GTC: emission from possible host)
150727A	88	37	2	1.0	0.2	1.14, PL	0.07	13:35:52.51	-18:19:32.5	0.313 (VLT: emission)
150424A	91	15	1	12.0	0.4	1.23, PL	0.15	10:09:13.35	-26:37:51.3	<3 (GTC)
150423A	0.22	0.63	0.10	0.9	0.1	0.84, PL	0.24	14:46:18.96	12:17:00.6	1.394 (VLT: absorption, tentative)
150413A	263.6	43	4	1.6	0.3	1.75, PL	0.14	n/a	n/a	3.2 (CAHA: absorption)|3.139 (Asiago: absorption)
150403A	40.90	170	3	17.6	-.6	1.23, PL	0.04	20:46:01.17	-62:42:40.4	2.06 (VLT: absorption)
150323A	149.6	61	2	5.4	0.3	1.85, PL	0.07	08:32:42.74	45:27:52.8	0.593 (Keck I: absorption and emission)
150314A	14.79	220	3	38.5	0.9	1.08, PL	0.03	08:26:40.90	63:50:03.5	1.758 (GTC: absorption)
150301B	12.44	18	1	3.0	0.2	1.46, PL	0.07	05:56:39.98	-57:58:10.7	1.5169 (VLT: absorption)
150206A	83.2	139	3	10.1	0.4	1.33, PL	0.04	00:40:17.67	-63:10:56.2	2.087 (VLT: absorption)
150120A	1.20	1.4	0.2	1.8	0.2	1.81, PL	0.18	00:41:16.54	33:59:41.5	0.460 (Gemini-North: emission, possible host)
150101B	0.018	0.23	0.06	n/a	n/a	3.3, PL	0.5	12:32:04.93	-10:56:00.8	0.093 (GTC: emission from host)
141225A	40.24	25	2	1.3	0.4	1.32, PL	0.15	09:15:06.79	33:47:30.6	0.915 (GTC: absorption)
141221A	36.9	21	1	3.1	0.2	1.74, PL	0.08	13:13:08.84	08:12:18.3	1.452 (Keck II: absorption, tentative)
141220A	7.21	26	1	8.9	0.7	0.62, CPL	0.38	13:00:15.66	32:08:47.9	1.3195 (GTC: absorption)
141212A	0.30	0.72	0.12	1.2	0.2	1.61, PL	0.23	02:36:29.95	18:08:49.1	0.596 (Gemini-North: emission from likely host)
141121A	549.9	53	4	0.9	0.3	1.73, PL	0.13	08:10:40.68	22:13:02.7	1.47 (Keck I: absorption)
141109A	200	68	3	2.5	0.2	1.52, PL	0.07	09:38:07.40	-00:36:28.6	2.993 (VLT: absorption)
141026A	146	13	1	0.4	0.2	2.34, PL	0.19	02:56:20.28	26:55:42.0	3.35 (GTC: absorption, possible redshift)
141004A	3.92	6.7	0.3	6.1	0.3	1.86, PL	0.08	05:06:56.07	12:49:10.2	0.57 (NOT: emission)|0.573 (GTC: emission)
140907A	79.2	43	2	2.5	0.2	1.72, PL	0.07	03:12:34.98	46:36:17.1	1.21 (GTC)
140903A	0.30	1.4	0.1	2.5	0.2	1.99, PL	0.12	15:52:03.27	27:36:09.4	0.351 (Gemini-North: absorption, tentative host redshift)
140710A	3.52	2.3	0.3	1.9	0.3	2.00, PL	0.23	02:44:16.28	35:29:57.0	0.558 (Gemini-North: emission, host)
140703A	67.1	39	3	2.8	0.6	1.74, PL	0.13	00:51:58.97	45:06:06.9	3.14 (GTC: absorption)
140629A	42.0	24	2	4.2	0.4	1.86, PL	0.11	16:35:54.48	41:52:36.7	2.275 (BTA: absorption)|2.29 (TNG: absorption)
140622A	0.13	0.27	0.05	0.6	0.2	n/a	n/a	21:08:41.56	-14:25:09.5	~0.959 (VLT: emission from host)
