GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
060218	~2100	15.70	1.52	0.25	0.11	2.26, PL	0.17	03:21:39.69	16:52:01.6	0.0331 (MDM: emission)|0.033 (VLT: emission)|0.033 (Gemini: emission)|0.033 (BTA: emission)|0.033 (Keck I: emission)
060210	255.000	76.60	4.09	2.72	0.28	1.53, PL	0.09	03:50:57.40	27:01:34.0	3.91 (Gemini: absoption)
060206	7.600	8.31	0.42	2.79	0.17	1.2, CPL	-0.3/0.3	13:31:43.45	35:03:03.2	4.045 (NOT: absorption)|4.048 (Lick: absorption)|4.05 (Subaru: absorption)
060124	~750	4.61	0.53	0.89	0.18	1.84, PL	0.19	05:08:25.86	69:44:26.4	2.30 (MDM: absorption)|2.297 (Keck/ESI: absorption)|2.296 (Keck/LRIS: absorption)
060123	900	3.0	n/a	0.04	n/a	1.9 (PL)  	n/a	11:58:47.95	45:30:49.6	1.099 (probable, Gemini: emission)
060116	105.900	24.10	2.61	1.11	0.32	1.43, PL	0.18	05:38:46.25	-05:26:13.3	~4.0 or ~6.6 (VLT: photometric)
060115	139.600	17.10	1.50	0.87	0.12	1.0, CPL	-0.5/0.6	03:36:08.32	17:20:43.1	3.53 (VLT: absoprtion)
060108	14.300	3.69	0.37	0.77	0.12	2.03, PL	0.17	09:48:02.06	31:55:06.9	2.03 (Liverpool: photometric)
051221A	1.400	11.50	0.35	12.00	0.39	1.39, PL	0.06	21:54:48.62	16:53:26.5	0.547 (Gemini: emission)
051117B	9.000	1.77	0.37	0.49	0.14	1.53, PL	0.31	05:40:43.37	-19:16:27.2	0.481 (TOUGH: emission)
051111	46.100	40.80	1.34	2.66	0.21	1.32, PL	0.06	23:12:33.08	18:22:28.6	1.549 (Keck: absorption)
051109B	14.300	2.56	0.41	0.55	0.13	1.97, PL	0.24	23:01:50.36	38:40:46.7	0.080 (Keck I: emission)
051109A	37.200	22.00	2.72	3.94	0.69	1.51, PL	0.20	22:01:15.33	40:49:23.2	2.346 (HET: absorption)
051016B	4.000	1.70	0.22	1.30	0.16	2.40, PL	0.23	08:48:27.85	13:39:20.4	0.9364 (Keck: emission)
051006	34.800	13.40	1.41	1.62	0.30	1.51, PL	0.17	07:23:14.14	09:30:20.0	1.059 (TOUGH: emission)
051001	189.100	17.40	1.47	0.49	0.11	2.05, PL	0.15	23:23:48.72	-31:31:23.4	2.4296 (TOUGH: emission)
050922C	4.500	16.20	0.54	7.26	0.32	1.37, PL	0.06	21:09:33.08	-08:45:30.2	2.198 (NOT: absorption)|2.198 (TNG: absorption)|2.199 (VLT: absorption)
050915A	52.000	8.50	0.88	0.77	0.14	1.39, PL	0.17	05:26:44.81	-28:00:59.4	2.5273 (TOUGH: emission)
050908	19.400	4.83	0.51	0.70	0.14	1.88, PL	0.17	01:21:50.70	-12:57:18.0	3.350 (VLT: absorption)|3.3437 (GMOS: absorption)|3.3440 (Keck: absorption)
050904	174.200	48.30	1.80	0.62	0.17	1.25, PL	0.07	n/a	n/a	6 < z < 8 (SOAR, UNC: photometric)|6.10 (VLT: photometric)|6.29 (Subaru: absorption)
050826	35.500	4.13	0.72	0.38	0.13	1.16, PL	0.31	05:51:01.56	-02:38:35.9	0.297 (MDM: emission from host)
050824	22.600	2.66	0.52	0.50	0.15	2.76, PL	0.38	00:48:56.21	22:36:33.1	0.83 (VLT: emission)
050820A	26	34.40	2.42	2.45	0.23	1.25, PL	0.12	22:29:38.12	19:33:37.0	2.612 (Keck: absorption)|2.6147 (VLT: absorption)
050819	37.700	3.50	0.55	0.38	0.12	2.71, PL	0.29	23:55:01.62	24:51:39.0	2.5043 (TOUGH: emission)
050814	150.900	20.10	2.20	0.71	0.25	1.80, PL	0.17	17:36:45.38	46:20:22.0	5.3 (NOT: photometric)
050813	0.450	0.44	0.11	0.94	0.23	1.28, PL	0.37	16:07:56.97	11:14:57.1	1.8
050803	87.900	21.50	1.35	0.96	0.11	1.38, PL	0.11	23:22:37.85	05:47:08.5	possible redshift:|0.422 (Keck: emission)
050802	19.000	20.00	1.57	2.75	0.44	1.54, PL	0.13	14:37:05.85	27:47:11.8	1.71 (NOT: absorption)|1.434 (TOUGH: emission)
050730	156.500	23.80	1.52	0.55	0.14	1.53, PL	0.11	14:08:17.18	-03:46:18.1	3.96855 (Magellan II: absorption)|3.97 (WHT: absorption)|3.968 (VLT: absorption)
050724	96.000	9.98	1.20	3.26	0.30	1.89, PL	0.22	16:24:44.33	-27:32:27.2	0.257 (GMOS: absorption)|0.258 (Keck: absorption)
050525A	8.800	153.00	2.21	41.70	0.94	1.0, CPL	-0.1/0.1	18:32:32.67	26:20:21.6	0.606 (GMOS: emission)
050509B	0.073	0.09	0.02	0.28	0.10	1.57, PL	0.38	12:36:13.85	28:59:03.7	0.225 (Keck: absorption)
050505	58.900	24.90	1.79	1.85	0.31	1.41, PL	0.12	09:27:03.33	30:16:24.4	4.27 (Keck: absorption)
050416A	2.500	3.67	0.37	4.88	0.48	3.08, PL	0.22	12:33:54.64	21:03:26.8	0.6535 (Keck: emission)
050406	5.400	0.68	0.14	0.36	0.10	2.43, PL	0.35	02:17:52.09	-50:11:17.1	2.44 (UVOT: photometric)
050401	33.300	82.20	3.06	10.70	0.92	1.40, PL	0.07	n/a	n/a	2.9 (VLT: absorption)
050319	152.500	13.10	1.48	1.52	0.21	2.02, PL	0.19	10:16:47.90	43:32:54.5	3.24 (NOT: absorption)
050318	32	10.80	0.77	3.16	0.20	1.90, PL	0.10	03:18:51.09	-46:23:45.8	1.44 (Magellan: absorption)
050315	95.600	32.20	1.46	1.93	0.22	2.11, PL	0.09	20:25:54.14	-42:36:01.5	1.949 (Magellan: absorption)
050223	22.500	6.36	0.65	0.69	0.16	1.85, PL	0.17	18:05:32.43	-62:28:20.0	0.5915 (Magellan: emission from host)|0.584 (VLT: emission from host)
050126	24.800	8.38	0.80	0.71	0.17	1.34, PL	0.15	n/a	n/a	1.29 (Keck: emission)
